Age,new_age,CHAR,Loessb,LoessH,LL,Betula,Fagus,Pinus,Quercus,Tsuga,Hemlock_d13c,Beech_d13c,d13c,Fagus CPA, Tsuga CPA,Temperature
2376,2376,0.74,-27.02519644,-27.22293473,92.97519108,19.44802403,14.73227724,4.021740154,15.71368963,22.14934479,-27.4768115,-26.943,-27.20990575,0,0,21.82840171
2798,2777.5,0.41,-26.00149096,-27.88211278,98.83545549,26.63102665,11.00712309,11.57118668,14.19052551,18.02006398,-26.87,-26.81,-26.84,6.274,5.574,21.71278702
2931,2931,0.76,-25.86280905,-28.47887215,140.5424092,25.89994329,9.847468135,14.53710119,15.26130942,16.99776279,-29.63954817,-24.15,-26.89477409,6.098,5.943,21.95473196
3057,3057,0.33,-26.14311028,-29.14785679,200.4141467,21.80217292,8.942749643,17.52775116,17.14824497,16.46752326,-29.25880783,-25.61,-27.43440392,6.496,6.566,22.01885726
3192.5,3192.5,0.35,-26.8788696,-29.23262252,233.3099415,19.25381376,8.260297369,20.28270723,18.7042546,16.63461822,-29.67943133,-27.47,-28.57471567,5.496,7.889,21.95467075
3314,3314,0.42,-27.44476635,-29.24952259,256.2820289,17.94592837,8.035765369,21.54499336,19.43253757,16.7366092,-28.05,-29.14861517,-28.59930759,5.655,7.869,21.940458
3432,3432,0.44,-26.76338989,-29.57860376,263.8614033,17.46321439,8.051575999,20.75250256,21.28408757,16.08245154,-30.0054865,-26.111,-28.05824325,5.52,8.68,21.86655724
3590,3549,0.11,-25.51308791,-29.68829508,281.7336514,17.46300156,8.978461289,19.47485725,23.59569669,13.98191437,-30.81651275,-24.1114,-27.46395638,5.229,8.514,21.97933007
3628,3628,0.59,-25.29809643,-29.29657831,288.9868607,17.31377207,9.268779577,18.84085234,24.12564313,13.80412817,-29.8007255,-27.07,-28.43536275,4.998,7.461,21.91098588
3782,3782,0.41,-24.40270442,-27.77423572,300.6213619,17.14407185,9.627987879,18.10553848,23.7749299,13.48801224,-25.8352261,-24.34618165,-25.09070388,5.249,8.883,21.94446056
3899,3899,0.34,-23.95666309,-26.30094645,332.3063497,16.85364294,9.827437358,18.4418412,22.80529168,14.22971177,-27.38,-23.01,-25.195,5.264,10.08,22.03475418
4050,4124,0.11,-23.75174278,-25.87357942,380.1690309,14.42526598,9.296568693,21.60047035,23.04250727,14.00708386,-24.78350575,-24.7224881,-24.75299693,4.644,12.91,22.06356301
4161,4240,0.84,-23.40507708,-25.48549083,390.7843455,13.18026373,9.125867305,23.9,23.49558101,12.82479989,-26.02,-23.66,-24.84,5.055,10.95,22.10268054
4365,4344,0.3,-23.48382443,-25.78659692,422.0402154,11.76071871,8.901866009,22.20208078,27.54927853,7.914991794,-24.78,-21.21,-22.995,6.295,9.018,22.11005585
4496,4477.5,0.5,-23.75438559,-25.92560174,341.1868506,12.24605908,9.301215356,23.07250556,30.04090544,5.141836806,-27.34,-26.24,-26.79,12.02,5.951,22.06858402
4569.5,4551.5,0.34,-24.16697229,-26.19765456,354.0067087,13.44419193,10.37892442,20.60005676,31.1371525,5.021502113,-25.55,-24.04,-24.795,26.07,4.158,22.05925101
4709.5,4692,0.26,-24.42691985,-26.43731619,484.3564619,16.99300492,13.46634561,13.21154925,30.75366294,5.428817424,-26.56,-24.29,-25.425,37.06,4.281,22.05151588
4830,4813,1.06,-24.32659923,-26.51394283,500.8907299,20.91945543,17.19563563,7.417652741,27.47799998,6.371624234,-26.92,-24.58,-25.75,20.13,4.861,21.88966763
4941,4922,1.57,-24.30225259,-27.01046632,452.6477197,24.57392446,20.3158116,2.581862238,23.35656166,7.383189959,-25.79,-23.81,-24.8,9.086,5.574,21.65517067
5049,5034.5,0.19,-24.33155268,-27.56581099,344.2932973,26.55374728,21.93886949,0.869507313,19.6279604,9.031000964,-27.11,-25.34,-26.225,5.43,16.2,21.50564131
5137.5,5137.5,0.32,-24.9554973,-27.95850713,309.8865157,25.58324336,21.79743605,1.30556274,18.19793501,12.27830343,-29.65,-22.82503975,-26.23751988,4.608,41.75,21.55757421
5303.5,5303.5,0.24,-25.04121975,-28.71228471,308.2813959,20.86889819,19.22213141,2.394225016,19.32925445,17.53802611,-28.17456133,-27.07,-27.62228067,5.094,34.56,21.56169032
5503.5,5503.5,0.81,-25.3332062,-28.4490335,245.499115,16.99328466,18.27639589,2.793580571,18.86299756,25.39020215,-29.37184375,-24.273835,-26.82283938,6.023,12.02,21.62413995
5690.5,5672,0,-24.98932778,-27.59552352,313.917092,16.20034627,16.78764873,3.444808414,19.39961458,33.05570284,-28.05,-25.5919976,-26.8209988,7.159,4.856,21.70708264
5840,5840,0.36,-25.24599592,-26.40388649,331.4081151,15.79859574,17.85576562,3.687002848,18.25212543,29.1318106,-25.855832,-24.6711692,-25.2635006,7.374,7.355,21.77177856
6016,6016,1.71,-25.2994371,-25.92615204,342.9854029,15.05674058,19.15389278,3.472210737,19.77642973,16.82258065,-24.46996316,-25.87381975,-25.17189146,5.889,4.709,21.93675524
6142,6125,0.82,-25.90721735,-26.80456059,348.5897033,12.20607502,20.74917066,2.644711829,18.78860847,21.7,-26.84,-24.35,-25.595,6.049,5.689,21.86159462
6235,6272,0.22,-25.74895934,-27.45375992,380.7739685,11.98017079,20.81273944,2.312923616,17.73010245,25.06446014,-29.41531,-26.98,-28.197655,7.2,5.239,21.94034485
6272,6493,0.05,-25.62288965,-27.66363892,389.8843277,12.19398884,20.78547193,2.18135049,17.46301206,26.32396193,-27.8752756,-26.98,-27.4276378,7.821,5.466,21.97316357
6493,6637,0.15,-24.10319713,-27.1419876,434.2838785,13.92474771,21.18578316,2.0833611,14.49548962,31.74257149,-27.07,-22.9281235,-24.99906175,6.59,5.874,21.67763116
6637,6755,0.68,-23.74884569,-27.27941563,436.9150884,15.29487513,21.81010666,2.022416596,15.96655178,32.07445389,-25.64303035,-22.8348182,-24.23892428,5.829,6.403,21.79599676
6755,6875,0.17,-25.09629389,-27.97257338,426.8753663,15.72898942,22.34744187,2.116859802,17.29187247,29.88327481,-29.06,-24.9748946,-27.0174473,4.304,8.056,21.77834949
6875,6996,0.17,-25.97585327,-28.74962494,408.4637773,15.94465735,23.06505839,2.053274437,18.26046736,27.68492068,-28.3137325,-27.37,-27.84186625,3.769,9.131,21.78402846
6973,7115,0.27,-25.96438813,-28.53296125,425.9295439,16.27218828,23.27438301,2.078148654,18.5827677,26.11936326,-30.909264,-27.76622093,-29.33774247,3.688,8.401,21.70419635
7115,7238,0.33,-24.56194695,-28.41382508,419.721163,15.55884744,22.92430905,2.397272161,19.14516108,24.96478883,-24.9000835,-23.7245519,-24.3123177,3.999,8.813,21.90155476
7238,7358,0.92,-23.76617323,-28.36372504,422.6752003,15.34914924,23.2923001,2.356154509,21.11447132,23.12131051,-28.54793125,-23.10367825,-25.82580475,3.588,5.731,21.87565581
7481,7481,0.07,-23.84504221,-28.7908042,451.3665657,15.48196285,23.88864465,2.212848425,23.95564997,20.55672513,-29.97,-24.2825815,-27.12629075,2.789,4.866,21.96054277
7579,7579,0.58,-24.5903596,-28.87877293,453.0320144,16.38462532,24.24134155,2.00711632,24.15487162,19.58966677,-25.02,-22.349605,-23.6848025,3.304,4.176,21.84400226
7719.5,7719.5,0.37,-25.67818907,-28.82061619,455.166292,17.21118112,24.04164205,1.773905126,22.72392835,19.8529051,-28.547715,-27.3827,-27.9652075,3.195,4.664,21.6639928
7849.5,7849.5,0.73,-26.46247007,-28.76767051,468.3895274,17.40755904,23.95069297,1.657403521,22.31277666,19.91006062,-29.70369017,-26.814,-28.25884509,3.025,3.935,21.70698013
7982.5,7982.5,0.04,-25.63268038,-28.10105118,474.5222857,16.9089402,23.70356281,2.223220896,22.34858381,21.0547818,,,,0,0,21.7591112
8118,8092,0.04,-24.59034391,-27.27119889,466.9689514,16.20762947,23.48286576,2.858777094,22.54667063,22.27683216,,,,0,0,21.92168089
