,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
1,585,0,1,7,585,-72,-68,-65,-63,-45,50.81632653
2,586,1,1,8,586,-64,-60,-56,-45,32.025,50.73741312
3,587,2,1,9,587,-62,-55,-47,-25,97.1,50.78915859
4,588,3,1,10,588,-60,-50,-39,-6.75,132,51.19416873
5,589,4,1,11,589,-58.025,-44,-30,8.25,165.15,50.49554014
6,590,5,1,12,590,-57,-39,-22,21,183.05,50.39358601
7,591,6,1,13,591,-55,-34,-13,36,213.025,50.96789708
8,592,7,1,14,592,-53.025,-28,-5,47,239.075,49.95473943
9,593,8,1,15,593,-52,-23,4,59,256.1,50.07411067
10,594,9,1,16,594,-50,-18,11.5,69,276.075,50.31220938
11,595,10,1,17,595,-48,-13,20,80,295,50.0284657
12,596,11,1,18,596,-45.05,-7,29,93,303,50.24529378
13,597,12,1,19,597,-43.05,-1,36,102,309.025,50.20968357
14,598,13,1,20,598,-42.025,4.75,45,114,314.05,50.16949153
15,599,14,1,21,599,-39.025,11,53,123.25,324.05,49.47368421
16,600,15,1,22,600,-37,16,61.5,132,336.025,50.40931184
17,601,16,1,23,601,-34.025,21.75,69,140.25,344.05,50.39213919
18,602,17,1,24,602,-32,28,76,150,353.05,50.42136369
19,603,18,1,25,603,-30,33,84,159.25,359.35,49.9813734
20,604,19,1,26,604,-28,39,92,171,374.1,49.71632696
21,605,20,1,27,605,-24.025,44,100,180.5,384,49.4169633
22,606,21,1,28,606,-22,50,109,186.25,390,49.0415501
23,607,22,1,29,607,-18.025,58,117,194.25,396.025,49.71553611
24,608,23,1,30,608,-16,64,125,202,402.05,50.07975821
25,609,24,1,31,609,-13,72,134,211.25,407.025,52.27632621
26,610,25,1,32,610,-9,81,142,218,416.025,52.0754717
27,611,26,1,33,611,-7,89,150,227,421.2,52.25924634
28,612,27,1,34,612,-4,94,158.5,236,425.1,52.2950542
29,613,28,1,35,613,-2,100,167,245,431.025,52.33982412
30,614,29,1,36,614,6.975,107,174.5,254,440,52.35540817
31,615,30,1,37,615,11.975,114,182,260,446.025,51.73727167
32,616,31,1,38,616,14,122.75,190,266,451.125,51.58631027
33,617,32,1,39,617,15.975,129,199,277.25,461.025,51.23200565
34,618,33,1,40,618,17,137.75,207,286.25,464.025,51.86421814
35,619,34,1,41,619,18.975,145,214,292,467.15,51.54974171
36,620,35,1,42,620,22.95,150,222,300,472.075,51.71766473
37,621,36,1,43,621,25.975,156,230,308,484,52.07784482
38,622,37,1,44,622,29,163,238,314,486.025,52.07808564
39,623,38,1,45,623,31.975,170,246.5,322.25,492.075,51.95339273
40,624,39,1,46,624,36.95,182,255,332,494.1,52.39896957
41,625,40,1,47,625,42.95,189,262,340,504,52.6590106
42,626,41,1,48,626,44.95,196,270,347,505.025,52.36542835
43,627,42,1,49,627,49.975,202,278.5,353,507.025,52.52774353
44,628,43,1,50,628,55,209,285,360,510,53.40309889
45,629,44,1,51,629,58.975,216,292.5,366.25,513,53.44135573
46,630,45,1,52,630,63.975,222,300,372.25,522.025,52.68612887
47,631,46,1,53,631,69.9,227,309,378.25,525.025,52.92848106
48,632,47,1,54,632,70.95,233.75,315.5,386,527.05,53.76672724
49,633,48,1,55,633,81.775,238.75,322,393,531.025,58.13686026
50,634,49,1,56,634,85.975,244,330,401,535.025,57.53435999
51,635,50,1,57,635,89.95,250,337,406,540.025,57.42382271
52,636,51,1,58,636,96.95,256,345,413,543.025,58.14718112
53,637,52,1,59,637,106.875,263,353,418.25,551,58.23651265
54,638,53,1,60,638,112.95,272,361,425.25,553,58.72374001
55,639,54,1,61,639,121.975,279.75,368,432,559.025,59.55997905
56,640,55,1,62,640,127.95,285,375.5,438.25,563.025,59.65560765
57,641,56,1,63,641,140.925,289.75,383,445,564.05,58.99385312
58,642,57,1,64,642,144.95,297.75,391,453.25,569,57.52773376
59,643,58,1,65,643,149.975,307,399,459,571,58.81197381
60,644,59,1,66,644,154,315,407,465.25,574.025,59.10828025
61,645,60,1,67,645,162,324.75,415,473,576,59.13870806
62,646,61,1,68,646,167,331,422,477.5,580,59.07461714
63,647,62,1,69,647,174,340,431,482.25,582.025,58.73736978
64,648,63,1,70,648,179.975,348.75,438.5,489,585.05,58.85154062
65,649,64,1,71,649,187.9,357.5,445.5,494.25,589.025,59.41153546
66,650,65,1,72,650,195.825,366,452,501,592.025,58.96196232
67,651,66,1,73,651,199,374,457,506,595,59.71615721
68,652,67,1,74,652,209.85,382.75,464.5,513.25,597.025,60.20240964
69,653,68,1,75,653,219.95,397,472,521,602,59.65215958
70,654,69,1,76,654,226.95,404,480,527,607,59.40468031
71,655,70,1,77,655,234.975,411.75,486,533.25,609.05,59.61278703
72,656,71,1,78,656,242.925,422,493.5,539,613,59.54252318
73,657,72,1,79,657,251.95,429.75,499,545,616.025,59.43192065
74,658,73,1,80,658,256.975,439.75,506,552,619.025,59.26862302
75,659,74,1,81,659,262.975,453,511,559,622,59.3678908
76,660,75,1,82,660,274.9,462,517.5,564,624,59.57174601
77,661,76,1,83,661,284.95,472,524,571,627,59.71128609
78,662,77,1,84,662,294.975,481,531,579,629,59.16136867
79,663,78,1,85,663,311.975,492,538,586.25,631.05,58.59228083
80,664,79,1,86,664,329.925,502,546,593,634.025,58.96710294
81,665,80,1,87,665,347.825,512,552,600,636,58.92896496
82,666,81,1,88,666,364.875,522,558.5,607.25,639,58.11271834
83,667,82,1,89,667,390.975,534.75,566.5,615,642.025,57.52631579
84,668,83,1,90,668,417.925,545,574.5,622,646.025,57.94251135
85,669,84,1,91,669,449.875,556,588,629,650.025,57.48162529
86,670,85,1,92,670,500.95,566,610,637,655,55.82350306
87,671,86,1,93,671,555.975,581.75,636,651.25,718.05,51.5623684
88,672,87,1,94,672,577,618,663,697,976,55.85550134
89,673,88,1,95,673,586,653,689,752.25,1163.525,55.96903629
90,674,89,1,96,674,595,670,719.5,805.25,1323.075,54.90713846
91,675,90,1,97,675,603.975,687,750,854.25,1411.075,53.65630713
92,676,91,1,98,676,611,705,777,896.5,1477.15,52.92390506
93,677,92,1,99,677,618,722.75,807,938.5,1524.025,60.2772173
94,678,93,1,100,678,625.95,739,832,985,1557,57.89257218
95,679,94,1,101,679,633,756,858,1031,1631.4,57.31456416
96,680,95,1,102,680,639.95,774.75,885.5,1055.5,1687.575,56.05453087
97,681,96,1,103,681,645.95,791,912.5,1093,1705.6,52.75490393
98,682,97,1,104,682,654.95,811.75,937.5,1133.25,1749.65,52.01481159
99,683,98,1,105,683,662.975,829.75,962,1164,1791.325,51.28131091
100,684,99,1,106,684,670,845,987.5,1204,1891.15,51.31170051
101,685,100,1,107,685,677,860.75,1016.5,1234.25,1917.45,51.3795502
102,686,101,1,108,686,684,880,1041,1274,1948.325,52.5264297
103,687,102,1,1,687,691,895.25,1068.5,1305.25,1988.15,52.30451937
104,688,103,1,2,688,699,912.5,1092,1339,2017.025,51.86489716
105,689,104,1,3,689,706.975,932.5,1119,1368,2039,53.34065783
106,690,105,2,4,690,711.975,947.75,1148,1400.75,2067.475,54.31754875
107,691,106,2,5,691,719.9,965.75,1173,1436.25,2106.225,54.88416007
108,692,107,2,6,692,726.925,984.5,1200,1466.25,2162.225,55.20765206
109,693,108,2,7,693,731.975,1008,1225.5,1489,2193.05,54.76688708
110,694,109,2,8,694,737.95,1027,1252,1519.5,2206,56.61863139
111,695,110,2,9,695,744.925,1045.5,1276.5,1548,2231.275,57.75193798
112,696,111,2,10,696,757.95,1068.75,1303,1580.5,2252.7,59.36687928
113,697,112,2,11,697,766,1093,1327,1608.5,2273.5,58.82457386
114,698,113,2,12,698,783.65,1114.75,1357,1641,2307.1,58.07105704
115,699,114,2,13,699,791.975,1132.5,1380.5,1667,2324.525,58.54245445
116,700,115,2,14,700,801.85,1150.75,1404,1702.5,2355.7,58.67308179
117,701,116,2,15,701,811,1174.25,1431.5,1727,2382.275,59.13331072
118,702,117,2,16,702,821.9,1197.75,1453,1743.25,2409.025,58.93764434
119,703,118,2,17,703,827.95,1224.75,1479,1766,2430.025,59.23913043
120,704,119,2,18,704,834,1252.75,1503.5,1791,2445.05,57.45173058
121,705,120,2,19,705,842.925,1275,1529,1822.75,2463.075,56.77716752
122,706,121,2,20,706,854.825,1308,1552,1850,2479,57.83514972
123,707,122,2,21,707,862.875,1330,1578,1874,2495.025,57.29147142
124,708,123,2,22,708,876.875,1346,1604.5,1906.75,2501.25,56.71971706
125,709,124,2,23,709,888.875,1363.75,1632,1932.25,2510.425,55.72100313
126,710,125,2,24,710,897.8,1387.5,1658,1960.25,2543.575,56.34465243
127,711,126,2,25,711,902.85,1415.5,1684.5,1987,2573.075,56.33691252
128,712,127,2,26,712,921.8,1440.5,1713,2015,2586.075,55.00182415
129,713,128,2,27,713,927.875,1460,1739.5,2041,2599.475,52.82221551
130,714,129,2,28,714,934.9,1479.75,1762,2061,2627.075,50.27195502
131,715,130,2,29,715,945.875,1501.75,1788,2085,2636,49.22453969
132,716,131,2,30,716,954.95,1529.75,1814,2114.25,2646.15,50.31119448
133,717,132,2,31,717,966.875,1547,1838,2135.25,2661.175,49.87974637
134,718,133,2,32,718,982.825,1560.75,1863,2157.25,2671.025,51.64894576
135,719,134,2,33,719,990.85,1577,1887.5,2179.5,2679.225,51.90999072
136,720,135,2,34,720,1000.8,1604.5,1909,2203,2700,51.45321728
137,721,136,2,35,721,1005.95,1627.5,1939,2229.25,2708.025,53.21473159
138,722,137,2,36,722,1043.275,1652,1965,2247.75,2715.1,49.68093497
139,723,138,2,37,723,1051.35,1675.25,1993,2272,2724.075,48.98950941
140,724,139,2,38,724,1058.45,1700.5,2016.5,2296,2733.075,50.97804092
141,725,140,2,39,725,1080.65,1725.75,2036.5,2315,2745.4,51.90520057
142,726,141,2,40,726,1086.7,1757,2059.5,2343.5,2761.175,53.56448477
143,727,142,2,41,727,1096.925,1792,2086,2361.5,2775.075,52.04242274
144,728,143,2,42,728,1136.175,1820.75,2109.5,2377.25,2782.1,49.59738299
145,729,144,2,43,729,1170.85,1844,2137.5,2400,2795.325,47.38955823
146,730,145,2,44,730,1178.95,1883.75,2164,2418,2817,44.74472333
147,731,146,2,45,731,1190.9,1905.75,2190,2439.5,2826,47.10478277
148,732,147,2,46,732,1205.7,1935,2216,2459.25,2835.025,47.97847931
149,733,148,2,47,733,1210.775,1959,2237.5,2478,2846.15,47.76763064
150,734,149,2,48,734,1223.775,1983.25,2257,2494.5,2855.1,48.11837779
151,735,150,2,49,735,1236.875,2000.75,2278,2511.25,2867.175,50.32919348
152,736,151,2,50,736,1248.925,2032.75,2299.5,2539,2890.05,48.18933281
153,737,152,2,51,737,1285.925,2057,2329,2558.5,2901.025,47.77523311
154,738,153,2,52,738,1306.95,2080.5,2351.5,2584.5,2911.025,48.52588983
155,739,154,2,53,739,1316.95,2099,2376,2608,2920.025,49.59502459
156,740,155,2,54,740,1326.975,2127.75,2403,2627.25,2929.025,50.23600809
157,741,156,2,55,741,1385.9,2158.75,2431.5,2649,2946.05,49.80983334
158,742,157,2,56,742,1414.775,2183.75,2456,2664.25,2955.05,49.32834682
159,743,158,2,57,743,1431,2209.75,2479,2678.25,2966.2,49.5231367
160,744,159,2,58,744,1477.2,2242.5,2503,2697.5,2982.075,46.64075929
161,745,160,2,59,745,1518.05,2269.75,2525,2716.25,2992.075,43.97880539
162,746,161,2,60,746,1588.525,2291.25,2547.5,2733.25,3000,41.44155058
163,747,162,2,61,747,1618.825,2313,2571.5,2751,3005.05,43.68776468
164,748,163,2,62,748,1644.55,2349.75,2592,2774.5,3011.075,43.86846727
165,749,164,2,63,749,1672.95,2376.5,2618,2792,3021,44.33962264
166,750,165,2,64,750,1727.95,2405.75,2646,2809.5,3025.05,47.07125979
167,751,166,2,65,751,1761.35,2435.75,2671.5,2826.5,3032.025,49.15024631
168,752,167,2,66,752,1789.675,2470,2699,2844.25,3038,50.47298718
169,753,168,2,67,753,1836.825,2496.5,2724.5,2860.25,3046.025,49.44471664
170,754,169,2,68,754,1881.55,2535,2752,2881,3052.025,50.76911003
171,755,170,2,69,755,1927.1,2569,2777.5,2897.25,3060,50.99607495
172,756,171,2,70,756,1954.7,2606.25,2798,2916,3066.075,49.22160783
173,757,172,2,71,757,1981,2642,2820.5,2939,3074.1,47.96065953
174,758,173,2,72,758,2056.725,2681.75,2849,2956,3085.05,48.29124512
175,759,174,2,73,759,2129.975,2727,2875.5,2975,3093.025,47.32568284
176,760,175,2,74,760,2204.95,2765.75,2904,2997,3103.025,46.3778839
177,761,176,2,75,761,2248.7,2805,2931,3015.25,3111.025,44.36466981
178,762,177,2,76,762,2349.65,2849.5,2960,3034,3118.05,45.42137688
179,763,178,2,77,763,2438.95,2902,2991.5,3053,3128.025,45.39510686
180,764,179,2,78,764,2522.7,2954,3022,3076,3139,44.70108696
181,765,180,2,79,765,2690.525,3001,3057,3098,3154,43.08566205
182,766,181,2,80,766,2971.975,3067,3103,3139,3220.275,41.72777032
183,767,182,2,81,767,3035,3115.75,3154,3195,3540.7,42.75301709
184,768,183,2,82,768,3062.975,3150.75,3192.5,3260.25,3694.025,45.35603715
185,769,184,2,83,769,3089,3181,3232,3321,3762.175,42.81023854
186,770,185,2,84,770,3104.95,3210,3274,3385,3820,39.80707395
187,771,186,2,85,771,3117.975,3240,3314,3438.25,3867.05,40.81103841
188,772,187,2,86,772,3137.95,3272.75,3352.5,3486.25,3916.075,41.53315402
189,773,188,2,87,773,3152,3304,3392,3535,3957.025,38.9986755
190,774,189,2,88,774,3160,3335.75,3432,3575.25,3982.05,39.00952875
191,775,190,2,89,775,3175,3366.75,3472.5,3617.25,4001.025,40.17207566
192,776,191,2,90,776,3185.975,3396,3509,3668,4019.025,38.32185348
193,777,192,2,91,777,3198.95,3428.75,3549,3704.25,4038.05,37.16258198
194,778,193,2,92,778,3211,3465.75,3590,3744,4058.325,37.20024439
195,779,194,2,93,779,3226.9,3494.75,3628,3779.5,4089.075,37.42830466
196,780,195,2,94,780,3240.85,3526.75,3667,3818.25,4106.175,35.4446757
197,781,196,2,95,781,3254.925,3560.75,3705,3850.25,4123,35.48242812
198,782,197,2,96,782,3275.9,3602,3745,3888,4136.125,35.85439578
199,783,198,2,97,783,3290.925,3638.75,3782,3920.25,4158.125,36.08585686
200,784,199,2,98,784,3319.925,3672.5,3821,3947,4185,37.58898685
201,785,200,2,99,785,3344.775,3712,3859.5,3979.25,4210.025,37.06463249
202,786,201,2,100,786,3368.975,3746.75,3899,4013,4222.05,35.73634938
203,787,202,3,1,787,3401.975,3778,3938.5,4041,4232.025,44.53519256
204,788,203,3,2,788,3449.825,3821.5,3979,4068,4248.05,38.43938204
205,789,204,3,3,789,3491.875,3872.75,4014,4100.25,4261.025,36.03247083
206,790,205,3,4,790,3511.95,3915.5,4050,4130,4277.05,35.7622739
207,791,206,3,5,791,3543.975,3960,4088,4161.25,4293,36.18900166
208,792,207,3,6,792,3617.95,4007.75,4124,4193.25,4311.025,34.14237668
209,793,208,3,7,793,3663.95,4061,4161,4228,4323.125,32.52961526
210,794,209,3,8,794,3743.925,4116.75,4201.5,4261,4344,31.94891551
211,795,210,3,9,795,3907.925,4171,4240,4298.25,4366.025,30.60575327
212,796,211,3,10,796,4149,4249,4290,4346.25,4417.05,29.57863088
213,797,212,3,11,797,4188.95,4285,4334,4392.25,4609.05,28.56081926
214,798,213,3,12,798,4201.875,4304.75,4365,4424.25,4751.025,28.00610712
215,799,214,3,13,799,4208.95,4322,4388,4453,4893,27.19765583
216,800,215,3,14,800,4220,4337,4407.5,4489.5,4979.075,28.04264361
217,801,216,3,15,801,4230.975,4354,4425,4520,5024.475,26.86824101
218,802,217,3,16,802,4243.975,4371,4441,4549.5,5075.225,23.07910889
219,803,218,3,17,803,4256.975,4383,4459,4580.75,5113.05,26.56594806
220,804,219,3,18,804,4265.875,4399,4477.5,4607.5,5151.25,14.55601705
221,805,220,3,19,805,4275.925,4413,4496,4634.5,5183.275,13.44654788
222,806,221,3,20,806,4281.925,4425,4511,4661.25,5211.1,19.67499926
223,807,222,3,21,807,4287.95,4437,4532,4687.5,5265.075,16.18866127
224,808,223,3,22,808,4299.975,4447,4551.5,4712.25,5317.025,19.68612572
225,809,224,3,23,809,4304.975,4459.75,4569.5,4735.25,5329.175,25.06801399
226,810,225,3,24,810,4314,4470,4585.5,4755,5355.175,25.78435849
227,811,226,3,25,811,4323.95,4483.5,4604,4782.25,5373.35,23.02339882
228,812,227,3,26,812,4331.975,4497.5,4621,4802.25,5394.05,27.29979573
229,813,228,3,27,813,4336.975,4509.75,4637,4828.25,5411.45,26.3559855
230,814,229,3,28,814,4345.9,4523.75,4655.5,4846,5461.25,28.1846492
231,815,230,3,29,815,4349,4536,4673,4872.25,5481.175,25.4733153
232,816,231,3,30,816,4356.975,4549,4692,4892.5,5523.15,28.25320513
233,817,232,3,31,817,4365.875,4561,4709.5,4927,5552.025,29.23159592
234,818,233,3,32,818,4370.975,4573.75,4725.5,4950.25,5565.25,27.77220957
235,819,234,3,33,819,4376.9,4589.75,4747,4972,5598.225,25.4559692
236,820,235,3,34,820,4381,4605.5,4769.5,4989.5,5626.125,23.56360728
237,821,236,3,35,821,4387.925,4615,4790,5010.5,5653.225,23.52711883
238,822,237,3,36,822,4400.825,4632,4813,5031.25,5668.175,24.11219181
239,823,238,3,37,823,4406.9,4644.5,4830,5050,5693.1,24.35153499
240,824,239,3,38,824,4412.975,4660.75,4847,5071,5719,26.63217462
241,825,240,3,39,825,4418.95,4674.75,4868.5,5093.25,5741.025,24.33170933
242,826,241,3,40,826,4424.975,4686.75,4885,5118.25,5752.275,26.58381979
243,827,242,3,41,827,4429.95,4702.75,4905,5140.25,5761.45,28.35564173
244,828,243,3,42,828,4435.975,4717.5,4922,5161,5770.5,27.15344048
245,829,244,3,43,829,4443.975,4729.75,4941,5181,5792.2,27.28913406
246,830,245,3,44,830,4447.975,4744.75,4962,5194,5822.125,29.06437978
247,831,246,3,45,831,4454,4762.5,4985,5215,5832.025,28.14969939
248,832,247,3,46,832,4460.9,4780,5003,5230.25,5842.5,29.01785714
249,833,248,3,47,833,4465.875,4795,5020.5,5253.25,5860.225,30.15086115
250,834,249,3,48,834,4471.975,4808,5034.5,5265.5,5889.45,27.79103353
251,835,250,3,49,835,4476,4820.75,5049,5304.25,5899.375,27.70468335
252,836,251,3,50,836,4480,4830,5068,5317.25,5925.225,27.4594262
253,837,252,3,51,837,4484.975,4848.75,5083.5,5339.25,5954.05,24.8849165
254,838,253,3,52,838,4490,4866,5101,5353,5972.125,26.35522852
255,839,254,3,53,839,4496.975,4880.25,5118,5371,5981.175,26.54847792
256,840,255,3,54,840,4509.85,4892.75,5137.5,5393,5993.15,28.10124146
257,841,256,3,55,841,4513.925,4913.75,5153,5409.25,6010,27.50329609
258,842,257,3,56,842,4517.975,4930.75,5174.5,5426.25,6021.075,26.60097056
259,843,258,3,57,843,4526.975,4948.5,5190.5,5441,6032.125,28.94983878
260,844,259,3,58,844,4532.975,4967.75,5206,5466,6042.15,28.7464986
261,845,260,3,59,845,4543.875,4981,5227.5,5482.25,6053.025,29.67974882
262,846,261,3,60,846,4546.95,4994.75,5245.5,5505,6064.05,28.93924565
263,847,262,3,61,847,4551.975,5015.25,5266.5,5521.75,6072.025,27.94537512
264,848,263,3,62,848,4557.95,5027.5,5285,5538.25,6076.05,25.0316519
265,849,264,3,63,849,4564.925,5041.25,5303.5,5553,6083.05,24.20191604
266,850,265,3,64,850,4571.975,5059.25,5321.5,5568,6089.075,25.64788449
267,851,266,3,65,851,4591,5079,5340,5583.25,6097.025,23.7398374
268,852,267,3,66,852,4612.95,5096,5359.5,5597.5,6109.1,26.13004681
269,853,268,3,67,853,4623.825,5109.5,5376.5,5618,6114.1,27.07344176
270,854,269,3,68,854,4638.9,5124.5,5394.5,5635,6125.25,24.04106221
271,855,270,3,69,855,4663.9,5141.5,5414,5657,6140.275,25.0783208
272,856,271,3,70,856,4673.75,5155,5435,5672,6146.35,27.24453841
273,857,272,3,71,857,4696.275,5171,5453.5,5688.25,6151.35,26.2929585
274,858,273,3,72,858,4699.55,5193,5470,5698.25,6171.225,27.16250874
275,859,274,3,73,859,4710.775,5210.75,5484,5717,6186.075,27.20790378
276,860,275,3,74,860,4720.925,5228.5,5503.5,5729,6192.325,26.66777207
277,861,276,3,75,861,4732.975,5243.75,5521,5743.25,6197.3,26.989466
278,862,277,3,76,862,4748.875,5262.25,5537.5,5761.25,6210.075,25.11901908
279,863,278,3,77,863,4766,5280,5552.5,5783.25,6217.175,24.41309349
