Age,Smean,S.sd
650,21.35952311,0.405739085
700,21.33802098,0.412841996
750,21.20992011,0.387688131
800,21.69028032,0.551341638
850,21.65630005,0.539951676
900,21.59929688,0.533928961
950,21.58963624,0.541406099
1000,21.53721759,0.547055497
1050,21.58382822,0.548038336
1100,21.60061342,0.549486173
1150,21.58561638,0.553335932
1200,21.57358959,0.55073604
1250,21.59723,0.544078625
1300,21.63995723,0.52203333
1350,21.70175681,0.500287753
1400,21.73068811,0.47729257
1450,21.70562655,0.480064242
1500,21.66025452,0.495983875
1550,21.61659718,0.514421923
1600,21.59757669,0.519375458
1650,21.59724433,0.51243705
1700,21.59040596,0.511463753
1750,21.58040152,0.514751733
1800,21.59992736,0.509521912
1850,21.67810207,0.493126791
1900,21.71913686,0.467292997
1950,21.8220671,0.434907032
2000,21.90855252,0.420805432
2050,21.90478805,0.4153734
2100,21.84902942,0.430304627
2150,21.79555294,0.448009019
2200,21.78725237,0.463206267
2250,21.85110764,0.462811896
2300,21.88777515,0.469800881
2350,21.83762012,0.470283615
2400,21.81989241,0.479089903
2450,21.81474913,0.485550884
2500,21.77951856,0.480271147
2550,21.81698775,0.492145523
2600,21.86744657,0.502404971
2650,21.8292689,0.509117925
2700,21.75004146,0.508477139
2750,21.70615864,0.51200008
2800,21.7130632,0.513488705
2850,21.79636056,0.499131468
2900,21.93151889,0.489612641
2950,21.96895933,0.488768664
3000,22.00311957,0.493733194
3050,22.03231304,0.499500701
3100,21.93620032,0.514040333
3150,21.85541386,0.515920827
3200,21.97357682,0.49021695
3250,22.00201849,0.489053576
3300,21.96662482,0.508390702
3350,21.8731719,0.525743541
3400,21.85276613,0.517672935
3450,21.87431474,0.48223992
3500,21.98945667,0.45311454
3550,21.97887947,0.427411456
3600,21.97944272,0.432518951
3650,21.92586486,0.437144791
3700,21.90261645,0.424713048
3750,21.93503383,0.383620045
3800,21.9497631,0.35697716
3850,22.01751677,0.352661191
3900,22.03510596,0.365157684
3950,22.07197398,0.385398764
4000,22.07896394,0.392519063
4050,22.06356301,0.395466371
4100,22.10019952,0.406091794
4150,22.09901618,0.419832799
4200,22.11567238,0.42955923
4250,22.12055182,0.427301201
4300,22.12732145,0.429686415
4350,22.11332745,0.435217891
4400,22.10242211,0.436158579
4450,22.0664481,0.412734707
4500,22.06876975,0.391639069
4550,22.08872674,0.379602088
4600,22.01115903,0.362051095
4650,21.97786702,0.4067817
4700,22.04122644,0.463959485
4750,22.09839002,0.51220645
4800,21.99294658,0.490732839
4850,21.82081499,0.439811277
4900,21.69627538,0.386672356
4950,21.65663447,0.36654133
5000,21.58344452,0.353416429
5050,21.50405349,0.335432371
5100,21.51911329,0.344077735
5150,21.57108751,0.370274448
5200,21.59027264,0.39747328
5250,21.58044181,0.437010816
5300,21.56159016,0.440217521
5350,21.56325955,0.410570749
5400,21.54832608,0.386174797
5450,21.56407925,0.379252541
5500,21.62155982,0.389423333
5550,21.66456197,0.401000041
5600,21.63784585,0.394668918
5650,21.6695545,0.399641968
5700,21.71646467,0.402231138
5750,21.69737357,0.383419939
5800,21.69156003,0.372119766
5850,21.79183319,0.37330212
5900,21.90737591,0.379357754
5950,21.87875637,0.368025467
6000,21.92455016,0.34966814
6050,21.96269103,0.332830836
6100,21.90508072,0.333549999
6150,21.85331155,0.349419408
6200,21.88600784,0.385911772
6250,21.96363214,0.408140877
6300,21.98529448,0.421560438
6350,21.9317811,0.405092608
6400,21.86691324,0.395763948
6450,21.72173865,0.390761832
6500,21.67045087,0.37934619
6550,21.65890366,0.369149612
6600,21.74031491,0.358470192
6650,21.81556065,0.357348386
6700,21.76356139,0.336652879
6750,21.77972581,0.336613489
6800,21.76596261,0.328547085
6850,21.7969032,0.349467419
6900,21.77115372,0.398327307
6950,21.71726081,0.387823105
7000,21.68885982,0.357435006
7050,21.758378,0.359693322
7100,21.90179838,0.401547124
7150,21.90098632,0.41116625
7200,21.86508837,0.385113708
7250,21.8789929,0.376915834
7300,21.90221779,0.365179225
7350,21.91818195,0.391903302
7400,21.9499629,0.404834156
7450,21.97167161,0.421769813
7500,21.95372187,0.428991211
7550,21.91628447,0.426519954
7600,21.79165997,0.389696057
7650,21.71049348,0.36995744
7700,21.67693208,0.362039686
7750,21.64288135,0.325282083
7800,21.70465759,0.32463875
7850,21.70702753,0.339434767
7900,21.71420305,0.384985474
7950,21.66711787,0.411224962
8000,21.81085745,0.349865302
8050,21.87988058,0.348512156
8100,21.92266391,0.362257401
8150,21.91993331,0.365866651
8200,21.93514221,0.369846826
8250,21.93425751,0.361515206
8300,21.78729134,0.376547866
8350,21.78764029,0.394668612
8400,21.76363568,0.406538455
8450,21.67161224,0.421726698
8500,21.78105847,0.44055809
8550,21.91588405,0.458510599
8600,21.84489557,0.488668466
8650,21.71423272,0.483874928
8700,21.63654071,0.465600061
8750,21.67323961,0.464447792
8800,21.72878116,0.46404973
8850,21.79889523,0.453256699
8900,21.84518027,0.407904038
8950,21.83969712,0.390847818
9000,21.81145066,0.392959808
9050,21.73400219,0.401985467
9100,21.61338453,0.415430244
9150,21.55307486,0.405684854
9200,21.52483225,0.388731096
9250,21.60354633,0.343924838
9300,21.6091385,0.310029576
9350,21.46161199,0.294173152
9400,21.37143641,0.271852277
9450,21.38946181,0.245876676
9500,21.37323285,0.234052347
9550,21.40709746,0.217177781
9600,21.3704668,0.228747646
9650,21.37775475,0.245783657
9700,21.42076992,0.247019545
9750,21.44565961,0.254786281
9800,21.4215709,0.266054594
9850,21.41796185,0.279655328
9900,21.41746706,0.300888623
9950,21.38077628,0.316443414
10000,21.32181066,0.276384095
10050,21.30068305,0.267746742
10100,21.27743326,0.309653592
10150,21.23100145,0.341352208
10200,21.17434344,0.349298587
10250,21.18653264,0.342105509
10300,21.15810108,0.358377563
10350,21.08618446,0.400163368
10400,21.01181589,0.438620924
10450,20.94834031,0.485497741
10500,20.86213037,0.538968018
10550,20.71988245,0.584860498
10600,20.59454121,0.630183307
10650,20.53836788,0.660407068
10700,20.50471714,0.658808408
10750,20.48545161,0.65005768
10800,20.44304997,0.648594028
10850,20.36835377,0.652179798
10900,20.35318135,0.63752577
10950,20.39664766,0.584254071
11000,20.53174305,