sunfish_years,Abies,Acer rubrum,Acer saccharinum-type,Acer saccharum,Alnus incana-type,Alnus viridis-type,Betula,Carya,Castanea,Cornus stolonifera-type,Cornus florida,Corylus,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Juglans nigra,Juniperus/Thuja,Ericaceae,Empetrum/Ledum,Vaccinium-type,Andromeda,Rhododendron,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Ostrya/Carpinus,Picea,Pinus banksiana/resinosa,Pinus strobus,Pinus undiff.,Platanus,Populus tremuloides-type,Prunus-type,Quercus,Salix,Sambusus,Sherperdia argentea,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Vitis
-65,0,4,0,4,1,2,104,3,1,0,0,0,35,0,4,6,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,25,9,1,3,0,0,60,0,0,0,0,1,135,6,0,0
106.5,0,3,0,6,3,0,77,12,1,0,0,0,50,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,1,31,6,0,0,0,0,46,0,0,0,0,1,175,3,0,0
322,0,4,0,9,4,0,128,6,4,0,0,0,50,1,1,2,2,0,0,1,0,0,0,0,0,2,0,0,0,4,1,0,23,29,0,2,0,0,72,0,0,0,0,0,161,1,0,0
441,0,1,3,5,3,0,84,1,4,0,0,0,55,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,20,26,0,2,0,0,40,0,0,0,0,0,179,3,0,0
768,0,2,0,10,0,0,153,6,4,0,0,0,54,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,30,1,4,0,0,64,1,0,0,0,2,160,4,0,0
1219,2,5,3,6,1,0,154,5,5,0,0,1,54,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,14,21,2,1,0,0,81,0,0,0,0,2,113,6,0,0
1569,0,4,2,12,0,1,126,9,5,0,0,0,52,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,4,30,5,3,0,0,78,0,0,0,0,0,170,9,1,0
1992,1,1,0,11,3,1,73,12,7,0,0,0,59,11,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,9,0,26,14,3,0,0,0,66,0,0,0,0,2,90,5,0,0
2385.5,0,6,0,10,3,2,185,8,4,0,0,2,68,1,6,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,5,20,46,3,0,0,78,1,0,0,0,0,102,10,0,0
2790,0,5,0,7,4,0,142,10,8,0,0,1,51,4,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,3,1,4,47,18,0,0,0,78,0,0,0,0,0,169,4,0,0
2948,0,9,1,6,2,0,116,8,23,0,0,2,43,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,57,49,2,0,0,105,0,0,0,0,1,93,4,0,1
3058.5,0,3,1,11,2,2,91,9,26,0,0,3,51,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,54,54,1,0,0,95,0,1,0,0,2,69,5,0,0
3190,0,5,2,10,1,1,91,8,16,0,0,0,38,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,7,66,51,2,0,0,111,0,0,0,1,0,118,9,0,0
3304,0,5,1,6,2,0,101,11,12,0,1,0,40,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,7,70,48,5,0,0,99,0,0,0,0,1,82,9,0,1
3418.5,0,6,0,11,2,1,75,13,10,0,0,2,38,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,64,35,1,0,1,130,0,0,0,0,2,78,10,0,0
3538,0,4,0,5,2,2,93,5,10,0,0,3,54,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,13,58,37,7,2,0,122,0,0,0,0,3,47,1,0,0
3617,0,8,1,4,1,1,88,8,16,0,0,3,54,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,4,47,30,4,0,0,127,0,0,0,0,0,73,14,0,0
3771.5,1,6,1,17,3,0,91,14,12,0,0,0,46,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,21,0,3,63,36,8,1,0,118,0,0,0,0,2,68,3,0,0
3896,0,0,3,15,5,0,90,17,8,0,0,4,60,0,4,0,3,0,0,1,0,0,1,0,0,0,0,0,3,3,15,1,42,43,24,1,0,0,115,0,0,0,0,2,92,7,0,0
4125,0,5,1,18,1,0,53,9,4,0,0,2,42,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,14,2,9,107,15,0,0,0,127,0,0,0,0,2,74,7,0,0
4241,1,7,1,13,1,1,64,23,14,0,0,2,47,0,8,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,7,1,2,111,40,5,0,0,134,0,0,0,0,0,38,8,0,0
4335,0,6,1,17,1,0,81,22,19,0,0,1,63,3,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,18,1,45,40,52,6,0,0,202,0,0,0,0,1,22,5,0,0
4473.5,1,2,0,17,8,0,76,27,4,0,0,3,56,0,8,5,1,0,0,1,0,0,0,0,0,1,0,0,0,2,21,1,25,79,57,2,0,0,216,1,0,0,0,3,32,12,0,0
4544,0,3,3,14,8,0,73,15,13,0,0,1,60,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,1,18,44,39,1,0,0,174,0,0,0,0,3,28,12,0,0
4688,0,4,2,16,10,1,128,13,3,1,0,0,101,0,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,0,6,16,0,6,0,0,170,0,0,1,0,6,33,6,0,0
4808.5,0,3,1,10,2,0,163,11,2,0,0,0,100,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,3,0,6,0,0,90,0,0,0,0,3,38,11,0,0
4909.5,0,2,1,14,4,0,122,10,1,0,0,0,129,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2,1,3,0,0,81,0,0,0,0,10,34,6,0,0
5013.5,0,3,3,13,2,3,159,6,0,1,0,1,118,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,0,4,0,0,94,0,0,0,0,5,51,10,0,0
5127,0,2,1,14,1,0,99,15,2,0,0,1,99,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,5,0,0,86,0,0,0,0,8,121,8,0,0
5291.5,0,12,1,7,1,1,78,9,10,0,0,1,62,2,8,2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,2,1,5,30,25,5,0,0,126,0,0,0,0,4,123,9,0,0
5483,0,6,0,9,6,2,80,7,2,0,0,0,94,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,8,7,6,0,1,77,0,0,0,0,1,172,10,2,0
5661,0,4,1,17,3,1,104,9,3,0,0,2,74,1,8,3,0,1,0,1,0,0,0,0,0,2,0,0,1,6,11,0,4,18,8,3,0,0,105,0,0,0,0,2,102,7,0,1
5830.5,0,4,0,8,1,1,44,13,1,0,0,0,106,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,12,3,2,0,0,86,0,0,0,0,5,200,6,0,0
6013,0,5,2,12,2,0,89,3,1,0,0,0,110,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,10,6,1,0,0,120,0,0,0,0,8,114,6,0,0
6118,0,0,2,15,3,0,55,2,0,0,0,1,86,2,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,18,3,3,5,0,7,0,0,139,0,0,0,0,3,127,8,0,1
6263,0,5,0,8,1,1,50,12,0,0,0,1,128,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11,4,2,0,0,61,0,0,0,0,4,205,4,0,0
6493,0,0,0,10,4,1,78,10,1,0,0,1,105,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,3,4,0,0,75,0,0,0,0,4,173,16,0,0
6636,0,0,3,12,1,1,83,3,1,0,0,0,115,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,9,6,9,0,0,80,0,0,0,0,3,175,11,0,0
6758,0,1,2,10,1,0,74,4,3,0,0,0,132,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,6,2,0,0,96,0,0,0,0,4,164,6,0,0
6884.5,0,1,1,10,5,0,102,7,3,0,0,1,105,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,8,2,5,0,0,98,0,0,0,0,6,136,11,0,0
7005,0,5,5,12,3,0,73,9,0,0,0,0,121,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,2,4,0,0,97,2,0,0,0,7,128,8,1,0
7125,0,3,0,8,1,0,89,7,0,1,0,0,133,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,12,0,5,1,1,91,0,0,0,0,4,134,9,0,0
7246.5,0,1,2,9,1,0,71,7,2,0,0,1,102,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,12,2,8,0,0,103,0,0,0,0,5,120,9,0,0
7365,0,0,2,8,2,0,75,4,2,0,0,0,122,0,9,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,9,0,1,4,4,9,0,0,137,0,0,0,0,2,73,8,0,0
7486,0,2,5,11,1,1,76,7,0,0,0,0,122,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,12,2,3,0,0,112,0,0,0,0,5,111,8,0,0
7584.5,0,2,2,14,2,0,98,6,0,0,0,1,116,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,8,0,5,0,0,115,0,0,0,0,2,98,10,0,0
7727.5,0,2,1,10,3,0,97,15,1,0,0,1,124,0,9,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,2,5,4,0,1,104,0,0,0,0,6,105,8,0,0
7848,0,9,0,14,0,0,75,7,0,0,0,0,134,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,1,2,0,0,129,0,0,0,0,7,96,15,0,0
7980.5,0,7,4,5,2,0,88,5,0,0,0,0,114,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,6,12,2,0,0,110,0,0,0,0,2,121,5,0,0
8080,0,1,3,7,1,5,91,6,1,0,0,0,94,2,8,1,7,1,0,0,0,0,0,0,0,0,1,0,0,3,9,0,7,13,1,0,0,0,132,0,0,0,0,8,109,5,0,0
8588.5,0,0,0,13,4,1,112,6,0,0,0,0,113,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,7,3,5,0,0,97,0,0,0,0,8,118,11,0,0
9092.5,0,0,0,4,1,0,48,3,0,0,0,0,34,3,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,2,16,51,6,2,0,0,210,1,0,0,0,1,73,10,0,0
9579,0,3,0,1,0,0,29,2,0,0,0,1,11,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,4,69,2,2,0,0,190,0,0,0,0,2,88,6,0,0
10082,0,3,2,5,9,0,36,1,0,0,0,1,1,1,16,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,15,83,4,3,0,0,163,1,0,0,0,2,112,8,0,0
10651.5,0,1,0,3,5,1,34,3,0,0,0,0,4,0,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,21,92,5,6,0,0,169,1,0,0,0,0,64,6,0,0
10839.5,0,0,2,1,4,1,31,2,0,0,0,1,2,1,13,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,22,7,29,101,25,1,1,0,180,1,0,0,0,3,63,7,0,0
11013.5,0,2,0,0,17,0,39,2,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,24,130,3,3,0,0,163,0,0,0,0,0,87,10,1,1
11192.5,2,1,1,3,6,4,27,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,9,199,16,4,1,0,123,0,0,0,0,0,71,12,0,1
11376.5,0,0,0,3,11,1,30,1,0,0,0,3,0,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,3,33,150,25,1,0,0,165,0,0,0,0,2,35,7,0,0
11549,4,1,0,3,6,0,27,1,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,72,132,16,0,1,0,122,0,0,0,0,0,21,9,0,0
11717.5,4,2,1,0,10,7,34,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,3,21,151,27,1,0,0,126,0,0,0,0,0,15,5,0,0
11889.5,4,0,1,1,3,1,28,0,0,0,0,2,0,0,3,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,19,3,59,243,27,0,0,0,106,1,0,0,0,0,9,7,0,0
12069.5,16,0,0,2,11,3,76,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,10,70,261,8,0,1,0,44,2,0,0,0,0,4,4,0,0
12243.5,21,0,1,2,5,10,87,1,0,0,0,2,10,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,18,99,68,4,4,0,0,85,1,0,0,0,1,43,7,0,0
12476,27,0,0,0,13,18,130,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65,174,47,13,0,1,0,7,1,0,0,0,0,10,6,0,0
12737.5,49,0,0,0,25,22,65,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,95,152,45,2,0,0,0,13,1,0,0,0,0,5,2,0,0
12999.5,29,0,0,2,7,19,16,4,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,37,291,6,3,1,2,0,24,0,0,0,0,0,2,2,0,0
13576,18,0,0,2,1,2,24,2,0,0,0,3,3,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,94,110,2,1,1,0,0,35,0,0,0,0,0,1,0,0,0
13803.5,1,0,0,2,11,5,6,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,162,74,1,0,0,0,1,11,5,0,0,0,0,0,2,0,0
